Entity,Code,Year,Deaths,Total_Deaths,Relative_Death_Percentage
Drought,,1900,1261000,1267470,99.48953426905568
Earthquake,,1900,140,1267470,0.011045626326461376
Extreme weather,,1900,6000,1267470,0.4733839854197733
Flood,,1900,300,1267470,0.023669199270988664
Volcanic activity,,1900,30,1267470,0.0023669199270988663
Earthquake,,1901,18,18,100.0
Earthquake,,1902,9148,48438,18.885998596143523
Extreme weather,,1902,600,48438,1.238696890870804
Volcanic activity,,1902,38690,48438,79.87530451298566
Drought,,1903,0,7136,0.0
Dry mass movement,,1903,76,7136,1.0650224215246635
Earthquake,,1903,6630,7136,92.90919282511211
Extreme weather,,1903,163,7136,2.2841928251121075
Flood,,1903,250,7136,3.503363228699551
Volcanic activity,,1903,17,7136,0.2382286995515695
Earthquake,,1904,152,152,100.0
Extreme weather,,1904,0,152,0.0
Dry mass movement,,1905,18,20946,0.08593526210254941
Earthquake,,1905,20688,20946,98.76826124319679
Extreme weather,,1905,240,20946,1.1458034947006588
Drought,,1906,0,33657,0.0
Earthquake,,1906,22653,33657,67.30546394509315
Extreme weather,,1906,10298,33657,30.59690406156223
Flood,,1906,6,33657,0.017826900793297084
Volcanic activity,,1906,700,33657,2.0798050925513265
Drought,,1907,0,13241,0.0
Earthquake,,1907,13241,13241,100.0
Dry mass movement,,1908,33,75033,0.04398064851465355
Earthquake,,1908,75000,75033,99.95601935148535
Earthquake,,1909,5478,6316,86.73210892970235
Extreme weather,,1909,713,6316,11.288790373654212
Flood,,1909,72,6316,1.1399620012666245
Wet mass movement,,1909,53,6316,0.8391386953768207
Drought,,1910,16990,20983,80.97030929800314
Earthquake,,1910,2522,20983,12.019253681551731
Extreme weather,,1910,30,20983,0.14297288280989373
Flood,,1910,1379,20983,6.571986846494782
Wet mass movement,,1910,62,20983,0.295477291140447
Drought,,1911,16990,120695,14.076805170056755
Earthquake,,1911,1297,120695,1.0746095530055098
Extreme weather,,1911,1000,120695,0.8285347363188202
Flood,,1911,100000,120695,82.85347363188201
Volcanic activity,,1911,1335,120695,1.106093872985625
Wildfire,,1911,73,120695,0.06048303575127387
Drought,,1912,16990,69083,24.593604794233023
Earthquake,,1912,923,69083,1.3360739979445015
Extreme weather,,1912,51170,69083,74.07032120782247
Drought,,1913,16990,18952,89.64753060363022
Earthquake,,1913,1230,18952,6.490080202617138
Extreme weather,,1913,732,18952,3.8623891937526382
Drought,,1914,17040,21462,79.39614201845121
Earthquake,,1914,4282,21462,19.951542260739913
Extreme weather,,1914,0,21462,0.0
Volcanic activity,,1914,140,21462,0.6523157208088715
Earthquake,,1915,30156,32337,93.25540402634753
Extreme weather,,1915,2125,32337,6.571419735906238
Flood,,1915,0,32337,0.0
Wet mass movement,,1915,56,32337,0.17317623774623495
Earthquake,,1916,181,481,37.62993762993763
Extreme weather,,1916,300,481,62.37006237006237
Earthquake,,1917,19504,23561,82.7808666864734
Extreme weather,,1917,4057,23561,17.21913331352659
Flood,,1917,0,23561,0.0
Earthquake,,1918,10216,11250,90.80888888888889
Extreme weather,,1918,34,11250,0.3022222222222222
Wildfire,,1918,1000,11250,8.88888888888889
Drought,,1919,0,5500,0.0
Extreme weather,,1919,500,5500,9.090909090909092
Volcanic activity,,1919,5000,5500,90.9090909090909
Drought,,1920,524000,706872,74.12940390905284
Earthquake,,1920,182648,706872,25.83890718545932
Extreme weather,,1920,224,706872,0.03168890548783938
Flood,,1920,0,706872,0.0
Drought,,1921,1200000,1200000,100.0
Drought,,1922,0,101175,0.0
Earthquake,,1922,1032,101175,1.0200148257968866
Extreme weather,,1922,100000,101175,98.83864591055102
Wet mass movement,,1922,100,101175,0.09883864591055103
Wildfire,,1922,43,101175,0.04250061774153694
Drought,,1923,0,154286,0.0
Earthquake,,1923,150947,154286,97.83583734104197
Extreme weather,,1923,3139,154286,2.0345332693828344
Wet mass movement,,1923,200,154286,0.12962938957520448
Earthquake,,1924,1037,3279,31.6254955779201
Extreme weather,,1924,2242,3279,68.37450442207991
Earthquake,,1925,6140,6959,88.23106768213825
Extreme weather,,1925,819,6959,11.768932317861761
Flood,,1925,0,6959,0.0
Earthquake,,1926,12,4852,0.24732069249793898
Extreme weather,,1926,3568,4852,73.53668590272052
Flood,,1926,1000,4852,20.610057708161584
Volcanic activity,,1926,144,4852,2.967848309975268
Wet mass movement,,1926,128,4852,2.6380873866446826
Earthquake,,1927,44252,53270,83.07114698704711
Extreme weather,,1927,5772,53270,10.835366998310493
Flood,,1927,3246,53270,6.093486014642388
Drought,,1928,3000000,3004895,99.83709913324759
Earthquake,,1928,635,3004895,0.02113218598320407
Extreme weather,,1928,4224,3004895,0.14057063557961258
Flood,,1928,36,3004895,0.0011980451895989709
Earthquake,,1929,3270,3330,98.1981981981982
Extreme weather,,1929,0,3330,0.0
